rxnorm,snomed
1544396,387381009
284595,387381009
284594,387381009
1544394,387381009
284593,387381009
284592,387381009
1921598,387381009
1747194,387381009
1544404,387381009
1544402,387381009
2377348,387381009
2377346,387381009
2377344,387381009
2377342,387381009
1441413,387381009
1544388,387381009
1441418,387381009
1544386,387381009
1544383,387381009
368138,387381009
1655205,387381009
1655252,387381009
1921595,387381009
2377336,387381009
1441406,387381009
1544382,387381009
1179677,387381009
1179678,387381009
1921597,387381009
2377337,387381009
1921596,387381009
1655959,387381009
1544378,387381009
1747185,387381009
2377333,387381009
1655956,387381009
2377353,387381009
2377351,387381009
1441422,387381009
311625,387381009
1441402,387381009
1544397,387381009
105589,387381009
1544395,387381009
1946772,387381009
1747192,387381009
1544403,387381009
105585,387381009
1544401,387381009
1544389,387381009
105586,387381009
2377349,387381009
1747179,387381009
2377347,387381009
1921592,387381009
1655968,387381009
2377345,387381009
315148,387381009
2377343,387381009
1655967,387381009
2377341,387381009
1655960,387381009
1441411,387381009
283511,387381009
1441416,387381009
283510,387381009
1544387,387381009
1544385,387381009
283671,387381009
372835,387381009
372836,387381009
1655203,387381009
1655955,387381009
1921591,387381009
2377332,387381009
1162235,387381009
1162236,387381009
1162237,387381009
1921590,387381009
1729419,372541004
1729423,372541004
1729407,372541004
1180490,372541004
1729422,372541004
1729418,372541004
1729404,372541004
1164585,372541004
197989,386913001
375173,386913001
1165375,386913001
686161,386905002
93698,386905002
1182364,386905002
597195,386905002
378363,386905002
1156104,386905002
309311,387318005
1736854,387318005
376433,387318005
1736853,387318005
1152129,387318005
312199,387374002
377111,387374002
1860486,386918005
1111073,386918005
1101773,386918005
1860482,386918005
1101772,386918005
1860481,386918005
1173805,386918005
1180259,386918005
1860485,386918005
1918045,386918005
1861411,386918005
1111071,386918005
1101769,386918005
1870937,386918005
1093280,386918005
1860480,386918005
1001405,386918005
1860619,386918005
376888,386918005
1860479,386918005
1160617,386918005
261289,387009002
835948,387009002
705619,387009002
261288,387009002
705617,387009002
261290,387009002
261291,387009002
366431,387009002
1724294,387009002
1181413,387009002
1181414,387009002
1181415,387009002
317160,387009002
313209,387009002
835945,387009002
700883,387009002
700885,387009002
313211,387009002
313210,387009002
374610,387009002
1724292,387009002
1161485,387009002
1161486,387009002
1161487,387009002
1919211,387508004
1919209,387508004
1919207,387508004
1919208,387508004
1660004,387508004
1660009,387508004
1660003,387508004
1156487,387508004
748738,372536007
637550,372536007
748740,372536007
748737,372536007
